City,Country,Latitude,Longitude,DateTime,CurrentTemp,MaxTemp,WindSpeed,Cloudiness,Humidity
terre haute,us,39.47,-87.41,1552599906,19.09,21.67,10.8,40,55
rikitea,pf,-23.12,-134.97,1552599860,24.14,24.14,8.38,100,100
punta arenas,cl,-53.16,-70.91,1552599912,15.78,16,5.1,0,55
hailey,us,43.52,-114.32,1552599981,-1.57,-1.11,3.1,5,63
sioux lookout,ca,50.1,-91.92,1552597200,-0.59,0,7.7,90,84
lagoa,pt,37.14,-8.45,1552600028,15.41,16.67,3.6,0,58
acapulco,mx,16.86,-99.88,1552596480,29,29,4.1,5,79
trastenik,bg,43.52,24.47,1552597200,5,5,2.1,75,93
vaini,to,15.34,74.49,1552600147,19.36,19.36,0.98,0,71
georgetown,sh,6.8,-58.16,1552597200,29,29,4.1,40,70
shimoda,jp,34.7,138.93,1552599911,3.61,3.89,0.89,0,61
chuy,uy,-33.69,-53.46,1552600152,22.51,22.51,5.93,92,84
kapaa,us,22.08,-159.32,1552599807,24.97,26,4.6,40,65
yamada,jp,36.58,137.08,1552599696,3.3,4.44,4.6,20,64
